L,v0,C,t,angle,velocity,accel
0.3,5.0,0.0,1.18,-0.5725124669444874,8.942677687713418,17.71508084757903
0.3,5.0,0.0,1.2,-0.3904557900231732,9.245415737160638,12.445945036016962
0.3,5.0,0.0,1.22,-0.20343986434456582,9.43669850572594,6.606689845943685
0.3,5.0,0.0,1.24,-0.013791884844857421,9.50756417646227,0.45098033682367383
0.3,5.0,0.0,1.26,0.17603574822354157,9.454590601762742,-5.726684710076548
0.3,5.0,0.0,1.28,0.363581948247133,9.280341211379051,-11.628914616361802
0.3,5.0,0.0,1.3,0.5464946006651341,8.993029933413013,-16.99404562352006
0.3,5.0,0.0,1.32,0.7226342013944769,8.605482516765072,-21.626563221287142
0.3,5.0,0.0,1.34,0.8901515160888172,8.1336246970882,-25.413364322228745
0.3,5.0,0.0,1.36,1.0475327993542423,7.59480196362598,-28.32451041961925
0.3,5.0,0.0,1.3800000000000001,1.1936121782862157,7.006217983802022,-30.401366889197764
0.3,5.0,0.0,1.4000000000000001,1.327555757202561,6.383693002103168,-31.737396501703255
0.3,5.0,0.0,1.42,1.4488249410244034,5.740833738439939,-32.45706214697439
0.3,5.0,0.0,1.44,1.5571272853378573,5.088608318755996,-32.696945169512155
0.3,5.0,0.0,1.46,1.6523623473666176,4.435256705664924,-32.59128348755473
0.3,5.0,0.0,1.48,1.7345683031909789,3.7864407824327855,-32.26245167424041
0.3,5.0,0.0,1.5,1.8038731725593051,3.145539779011745,-31.81580297405582
0.3,5.0,0.0,1.52,1.8604527337334151,2.514013665811867,-31.3377856938368
0.3,5.0,0.0,1.54,1.904495940064795,1.891781842494851,-30.896171145099938
0.3,5.0,0.0,1.56,1.9361777579088797,1.277584449714666,-30.54139261189801
0.3,5.0,0.0,1.58,1.955638941074482,0.6693121756268952,-30.30824119305867
0.3,5.0,0.0,1.6,1.9629720626686327,0.06430316142205034,-30.21740559347651
0.3,5.0,0.0,1.62,1.9582132020288165,-0.5403866246817356,-30.276539141294464
0.3,5.0,0.0,1.6400000000000001,1.9413388701327767,-1.1477280155047285,-30.480684234820682
0.3,5.0,0.0,1.6600000000000001,1.9122680026026264,-1.760464850200107,-30.811995518631146
0.3,5.0,0.0,1.68,1.8708691281690837,-2.3808478590305526,-31.23879959475999
0.3,5.0,0.0,1.7,1.8169730876521832,-3.0103441674784395,-31.714134977164044
0.3,5.0,0.0,1.72,1.7503918758267984,-3.6493146201761997,-32.1740538867515
0.3,5.0,0.0,1.74,1.6709442706592859,-4.29665847814484,-32.53615287797669
0.3,5.0,0.0,1.76,1.5784888144219495,-4.949436631691448,-32.69903250388859
0.3,5.0,0.0,1.78,1.472964330859656,-5.602501031957587,-32.54363729762713
0.3,5.0,0.0,1.8,1.3544374037478204,-6.248179162317478,-31.937618122044373
0.3,5.0,0.0,1.82,1.2231550370793023,-6.876085600702905,-30.743849885363364
0.3,5.0,0.0,1.84,1.0795990505154058,-7.473152269050612,-28.833838358260138
0.3,5.0,0.0,1.86,0.924536878852053,-8.023974800534756,-26.105781936247027
0.3,5.0,0.0,1.8800000000000001,0.7590615846004031,-8.51155328442014,-22.50547888827451
0.3,5.0,0.0,1.9000000000000001,0.5846128642412812,-8.918450094163296,-18.046364205147658
0.3,5.0,0.0,1.92,0.4029711999375931,-9.228296674979704,-12.82341211712466
0.3,5.0,0.0,1.94,0.2162197874518454,-9.427470446537011,-7.015424411666819
0.3,5.0,0.0,1.96,0.026673451624315808,-9.506668599128789,-0.8721184447396803
0.3,5.0,0.0,1.98,-0.16322030795919343,-9.462071107349516,5.313637214522627
0.3,5.0,0.0,2.0,-0.3509972051067682,-9.295837523811322,11.243384359244073
0.3,5.0,0.2,0.0,1.5707963267948966,5.0,-43.81111111111112
0.3,5.0,0.2,0.02,1.6621673353983404,4.143906262046576,-41.77227491151186
0.3,5.0,0.2,0.04,1.7368321590135318,3.3296588521769928,-39.64954130219624
0.3,5.0,0.2,0.06,1.7956359837541365,2.5576903938957587,-37.560693117434965
0.3,5.0,0.2,0.08,1.8394116651537362,1.8264620718671896,-35.586159881696695
0.3,5.0,0.2,0.1,1.868947380078897,1.133146527595767,-33.77542049763565
0.3,5.0,0.2,0.12,1.8849666117332617,0.47418425626003274,-32.15317952139252
0.3,5.0,0.2,0.14,1.8881180895201677,-0.15427516874216113,-30.724602328996514
0.3,5.0,0.2,0.16,1.878973593449044,-0.7560249807563822,-29.479383007103625
0.3,5.0,0.2,0.18,1.8580319758321873,-1.3345230197147644,-28.394696706728844
0.3,5.0,0.2,0.2,1.8257282237874253,-1.8926630200103813,-27.437233615931248
0.3,5.0,0.2,0.22,1.782446737541736,-2.4325795877077536,-26.564584689014005
0.3,5.0,0.2,0.24,1.728538260522797,-2.955476988454777,-25.72628707376373
0.3,5.0,0.2,0.26,1.6643400298419375,-3.46147816388401,-24.864861159971028
0.3,5.0,0.2,0.28,1.590198722403229,-3.9494972838103632,-23.91718455657722
0.3,5.0,0.2,0.3,1.5064956385545052,-4.417145949658043,-22.816543041634837
0.3,5.0,0.2,0.32,1.4136732860550763,-4.860689873801057,-21.495653604245515
0.3,5.0,0.2,0.34,1.3122621516593957,-5.275077286130707,-19.890846868467612
0.3,5.0,0.2,0.36,1.2029059929536625,-5.654062718157697,-17.947398952709968
0.3,5.0,0.2,0.38,1.0863835203072931,-5.990446779764226,-15.625713665958163
0.3,5.0,0.2,0.4,0.9636240205188552,-6.276442928087402,-12.907702532048752
0.3,5.0,0.2,0.42,0.8357144039113182,-6.504165746056004,-9.802367475579478
0.3,5.0,0.2,0.44,0.7038954819106755,-6.666212898581634,-6.349379175041108
0.3,5.0,0.2,0.46,0.569546083684892,-6.756288752886513,-2.6194947800892265
0.3,5.0,0.2,0.48,0.43415487041287804,-6.769797916985978,1.2889421870256506
0.3,5.0,0.2,0.5,0.2992812483149637,-6.704328603865755,5.257453190496159
0.3,5.0,0.2,0.52,0.16650833233102694,-6.559953812833414,9.157977457435749
0.3,5.0,0.2,0.54,0.037392126799936094,-6.339303497161652,12.86490346775821
0.3,5.0,0.2,0.56,-0.08658833297821682,-6.047398058661766,16.266564030157394
0.3,5.0,0.2,0.58,-0.20407534372684144,-5.69127336317367,19.274314285197118
0.3,5.0,0.2,0.6,-0.3138678122669551,-5.279459648609803,21.827923780028037
0.3,5.0,0.2,0.62,-0.4149453102340962,-4.821393477159359,23.89688187775156
0.3,5.0,0.2,0.64,-0.5064803501839691,-4.326841281059631,25.478053760608034
0.3,5.0,0.2,0.66,-0.5878398154913419,-3.80539833256077,26.590707770573026
0.3,5.0,0.2,0.68,-0.6585774512434848,-3.26610306392467,27.270159254044444
0.3,5.0,0.2,0.7000000000000001,-0.7184199772523873,-2.7171822019162626,27.561191192217457
